deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
train_sandwip_0496.wav,2.6227994,1.8540971,3.8692486,3.4864817,3.2017543,NISQAv2
train_sandwip_0497.wav,2.1127675,1.616182,3.8695369,3.4409616,3.1243916,NISQAv2
train_sandwip_0498.wav,1.8454227,1.7297701,4.037816,3.5953994,2.5782802,NISQAv2
train_sandwip_0499.wav,2.292822,1.8537757,3.7353842,3.2565987,3.3487933,NISQAv2
train_sandwip_0500.wav,2.815271,1.9075376,4.1736517,3.7781003,3.5621014,NISQAv2
train_sandwip_0501.wav,1.7939309,1.5885203,3.5596123,2.7451515,2.8431258,NISQAv2
train_sandwip_0502.wav,2.2654245,1.7039765,3.6585135,3.019442,2.8297114,NISQAv2
train_sandwip_0503.wav,2.8459325,1.904012,3.8465867,3.372595,3.3426993,NISQAv2
train_sandwip_0504.wav,3.2052746,1.8940139,4.284645,4.0710673,3.890276,NISQAv2
train_sandwip_0505.wav,2.7112186,2.2755525,3.9219973,3.1240227,3.2159858,NISQAv2
train_sandwip_0506.wav,2.6283975,1.96501,4.063694,3.570435,3.4301543,NISQAv2
train_sandwip_0507.wav,2.7201157,1.922242,4.0691137,3.3140957,3.4272223,NISQAv2
train_sandwip_0508.wav,3.1619732,2.3366299,3.9416404,3.8246403,3.549412,NISQAv2
train_sandwip_0509.wav,3.0040538,2.2713864,3.847462,3.6439085,3.5565794,NISQAv2
train_sandwip_0510.wav,2.2846453,1.9053215,3.2852097,3.0343301,3.4615312,NISQAv2
train_sandwip_0511.wav,2.5504324,2.0972505,3.8290231,2.7759764,3.100008,NISQAv2
train_sandwip_0512.wav,3.0371192,2.243504,4.0190187,3.3867602,3.754863,NISQAv2
train_sandwip_0513.wav,2.951379,2.0678012,4.004904,3.1062014,3.4790223,NISQAv2
train_sandwip_0514.wav,2.6750724,2.2097912,3.9951768,3.5977123,3.4833846,NISQAv2
train_sandwip_0515.wav,2.5906353,2.1897035,3.8656378,3.0647864,3.314946,NISQAv2
train_sandwip_0516.wav,2.2799308,1.7805151,3.1292062,2.3653836,3.1430025,NISQAv2
train_sandwip_0517.wav,2.8773162,2.4338856,3.2634532,2.8491945,3.5384438,NISQAv2
train_sandwip_0518.wav,2.9001946,2.146968,3.443831,3.1120477,3.6042426,NISQAv2
train_sandwip_0519.wav,2.5811284,2.3038082,2.9035714,2.8920548,3.4781823,NISQAv2
train_sandwip_0520.wav,2.5991552,2.266845,3.3303225,3.2108521,3.1377568,NISQAv2
train_sandwip_0521.wav,2.937994,2.245248,3.8874786,3.7108328,3.456431,NISQAv2
